energy_gev,unoscillated_numu_flux_per_gev_m2_pot,p_mumu_prem,p_mumu_constant_2p848,cc_xsec_1e38_cm2,selection_efficiency_proxy,selected_events_per_gev_per_pot
0.125,7.36421084e-12,0.3467924616524214,0.3437101415128924,0.0,0.3546925,0.0
0.375,1.36532008e-11,0.5328187423858821,0.5320876106809557,0.18840013112876733,0.5130295,1.6937464717571594e-20
0.625,2.3163102e-11,0.6100470069496148,0.6096957365258888,0.47396532949907655,0.6642375,1.0716201684079e-19
0.875,3.07193532e-11,0.15474461600386238,0.15455908079063052,0.7517634812246093,0.7325055,6.305661068659204e-20
1.125,3.60870544e-11,0.7690433094027758,0.7692000546716387,1.0092170026147333,0.8554105000000001,5.77128154880468e-19
1.375,3.91193924e-11,0.940526082357645,0.9415910783180993,1.184271013396996,0.9153495,9.607533032669858e-19
1.625,3.98056264e-11,0.6356574817397482,0.6369869940490243,1.3217570024420384,0.9351845000000001,7.5340316327642715e-19
1.875,4.32165636e-11,0.31975353086782315,0.32091772587947714,1.501028339577484,0.948156,4.7374557087259605e-19
2.125,4.47214196e-11,0.12279741883155415,0.12367420527576174,1.6445152990633698,0.945878,2.0577317345901307e-19
2.375,4.44079172e-11,0.033955317528024186,0.034559689071117734,1.700470914677211,0.9364079999999999,5.783802008249476e-20
2.625,4.5316966e-11,0.017040671758750413,0.017426548678443197,1.8979347063916716,0.926499,3.2710309478992885e-20
2.875,4.5580652e-11,0.042046653458755696,0.04226916194101272,1.974255229596123,0.9323695,8.497950906050497e-20
3.125,4.20174844e-11,0.08907238357834105,0.0891769525511164,2.1622093676375407,0.93527,1.823134728767553e-19
3.375,3.62152488e-11,0.14602430108681885,0.1460454725820384,2.3246846286898526,0.9445985,2.7972984114656427e-19
3.625,3.00391296e-11,0.20591111298597273,0.20587422945283257,2.4258342882898747,0.9461525,3.4197967555259426e-19
3.875,2.33474264e-11,0.26486703055710936,0.26479037826159013,2.533638713424675,0.943141,3.5595829881231324e-19
4.125,1.67550496e-11,0.3208814082813748,0.32077808102058775,2.762383032908377,0.9500569999999999,3.398871350302153e-19
4.375,1.082261772e-11,0.37302223213634517,0.3729015727058603,2.882014205263299,0.944229,2.6463749716914916e-19
4.625,6.40527424e-12,0.42097184931250387,0.4208405110527819,2.975119629439902,0.951052,1.8378513184363546e-19
4.875,3.74867224e-12,0.46475244469148036,0.464615156254447,3.080375814324773,0.9437995,1.2200945707088635e-19
5.125,2.37703772e-12,0.5045649729862707,0.50442508429629,3.226049793990531,0.9365505,8.729036952432096e-20
5.375,1.801464732e-12,0.5406955165603945,0.5405553876321746,3.4294742751668172,0.926874,7.458262688803049e-20
5.625,1.526539552e-12,0.5734616301823335,0.5733229083604123,3.628921719608366,0.9309835,7.124311561095805e-20
5.875,1.259908996e-12,0.6031823668084905,0.6030461850727733,3.823778248298523,0.9218695,6.452987927889235e-20
6.125,1.199719516e-12,0.6301622852711241,0.6300294046697862,3.9847592319711613,0.9109324999999999,6.610454301215264e-20
6.375,1.080529236e-12,0.6546836573135293,0.6545545697267741,4.084939441504681,0.9218124999999999,6.416631977462768e-20
6.625,1.029221104e-12,0.6770034195290799,0.6768784221468751,4.185849938728972,0.923359,6.487310432104859e-20
6.875,9.67308304e-13,0.6973528056511574,0.6972320551787511,4.353467178249584,0.9193005000000001,6.503110494722729e-20
7.125,8.98215892e-13,0.7159384282014066,0.7158219804597004,4.521429363114627,0.9116065,6.384846575818415e-20
7.375,8.79241204e-13,0.7329440803806032,0.7328319193272749,4.672044631558939,0.9057805000000001,6.569309409642417e-20
7.625,7.95349696e-13,0.7485328320111725,0.7484248910587711,4.803819735351468,0.9034995,6.224356884581557e-20
