max_profile_step_km,selected_events_per_pot,relative_difference_from_1km
10.0,2.457164273807404e-18,5.7050808521807994e-11
5.0,2.457164273701879e-18,1.4104939438652764e-11
2.0,2.4571642736716928e-18,1.8198775819655566e-12
1.0,2.4571642736672208e-18,0.0
