packets,packet_success,crc_acceptance,undetected_wrong_payload,payload_bits,frame_bits,repetitions,signal_mean,background_mean,ci_low,ci_high,slot_duration_hours,mean_packet_latency_hours,delivered_payload_bits_per_second_no_retransmission,proton_beam_energy_j_per_successful_payload_bit,facility_electrical_energy
12000.0,0.0,0.09733333333333333,0.09733333333333333,40.0,48.0,1.0,0.1,0.0,2.710505431213761e-20,0.00032003088078069936,0.32432064043829484,15.567390741038151,0.0,inf,not estimated
12000.0,0.0,0.004166666666666667,0.004166666666666667,40.0,48.0,5.0,0.1,0.0,2.710505431213761e-20,0.00032003088078069936,0.32432064043829484,77.83695370519077,0.0,inf,not estimated
12000.0,0.0,0.004416666666666667,0.004416666666666667,40.0,48.0,1.0,0.3,0.0,2.710505431213761e-20,0.00032003088078069936,0.9729619213148843,46.70217222311445,0.0,inf,not estimated
12000.0,0.003416666666666667,0.006666666666666667,0.00325,40.0,48.0,5.0,0.3,0.0,0.002519672417180428,0.00463150491924827,0.9729619213148843,233.51086111557223,1.625747204288448e-07,2061091851610.397,not estimated
12000.0,8.333333333333333e-05,0.004666666666666667,0.004583333333333333,40.0,48.0,1.0,1.0,0.0,1.4710152646964594e-05,0.0004719340563202714,3.2432064043829483,155.6739074103815,5.9478556254455414e-09,56336510610684.18,not estimated
12000.0,0.8553333333333333,0.8553333333333333,0.0,40.0,48.0,5.0,1.0,0.0,0.8489257310470265,0.8615135003403652,3.2432064043829483,778.3695370519076,1.2209758027914604e-05,27443740554.698063,not estimated
12000.0,0.3006666666666667,0.30091666666666667,0.00025,40.0,48.0,1.0,3.0,0.0,0.2925270605701384,0.30893385840766624,9.729619213148844,467.02172223114445,7.153287698869172e-06,46842996627.50902,not estimated
12000.0,1.0,1.0,0.0,40.0,48.0,5.0,3.0,0.0,0.9996799691192192,0.9999999999999999,9.729619213148844,2335.1086111557224,4.758284500356433e-06,70420638263.35521,not estimated
12000.0,0.0,0.06541666666666666,0.06541666666666666,40.0,48.0,1.0,0.1,0.01,2.710505431213761e-20,0.00032003088078069936,0.32432064043829484,15.567390741038151,0.0,inf,not estimated
12000.0,0.0,0.003916666666666666,0.003916666666666666,40.0,48.0,5.0,0.1,0.01,2.710505431213761e-20,0.00032003088078069936,0.32432064043829484,77.83695370519077,0.0,inf,not estimated
12000.0,0.0,0.004333333333333333,0.004333333333333333,40.0,48.0,1.0,0.3,0.01,2.710505431213761e-20,0.00032003088078069936,0.9729619213148843,46.70217222311445,0.0,inf,not estimated
12000.0,0.0009166666666666666,0.004,0.0030833333333333333,40.0,48.0,5.0,0.3,0.01,0.0005119386871131566,0.0016408388037194447,0.9729619213148843,233.51086111557223,4.3617607919933974e-08,7682251446911.4795,not estimated
12000.0,8.333333333333333e-05,0.0030833333333333333,0.003,40.0,48.0,1.0,1.0,0.01,1.4710152646964594e-05,0.0004719340563202714,3.2432064043829483,155.6739074103815,5.9478556254455414e-09,56336510610684.18,not estimated
12000.0,0.3785,0.3785833333333333,8.333333333333333e-05,40.0,48.0,5.0,1.0,0.01,0.3698621991160758,0.38721556838795396,3.2432064043829483,778.3695370519076,5.403032050154729e-06,62017294815.81261,not estimated
12000.0,0.23358333333333334,0.23375,0.00016666666666666666,40.0,48.0,1.0,3.0,0.01,0.22609892587933575,0.24123826390830685,9.729619213148844,467.02172223114445,5.557279772707951e-06,60295944285.42723,not estimated
12000.0,0.9985833333333334,0.9985833333333334,0.0,40.0,48.0,5.0,3.0,0.01,0.9977322549296855,0.9991152876103627,9.729619213148844,2335.1086111557224,4.751543597314262e-06,70520542365.03902,not estimated
