signal_mean,background_mean,average_signal_events_per_slot,binary_ook_capacity_bits_per_slot_p_on_le_0p5,capacity_optimal_p_on,ook_ber,repetition5_ber_per_payload_bit,scheme,ber,raw_bits_per_slot,average_signal_events_per_raw_bit,error_metric,ppm_symbol_error,ppm_raw_bits_per_slot
0.01,0.0,0.005,0.005297617920863286,0.3683652262575682,0.495024916874584,0.475614712250357,OOK,0.495024916874584,1.0,0.005,bit-error probability,,
0.01,0.0,0.005,0.005297617920863286,0.3683652262575682,0.495024916874584,0.475614712250357,repeat-5,0.475614712250357,0.2,0.025,bit-error probability,,
0.01,0.0,0.0025,0.005297617920863286,0.3683652262575682,0.495024916874584,0.475614712250357,PPM-4,,0.5,0.005,symbol-error probability,0.742537375311876,0.5
0.01,0.0,0.00125,0.005297617920863286,0.3683652262575682,0.495024916874584,0.475614712250357,PPM-8,,0.375,0.0033333333333333335,symbol-error probability,0.8662936045305221,0.375
0.011352225791695505,0.0,0.005676112895847752,0.006012477486627171,0.3684309310392559,0.49435598379066825,0.4724098662434041,OOK,0.49435598379066825,1.0,0.005676112895847752,bit-error probability,,
0.011352225791695505,0.0,0.005676112895847752,0.006012477486627171,0.3684309310392559,0.49435598379066825,0.4724098662434041,repeat-5,0.4724098662434041,0.2,0.028380564479238764,bit-error probability,,
0.011352225791695505,0.0,0.002838056447923876,0.006012477486627171,0.3684309310392559,0.49435598379066825,0.4724098662434041,PPM-4,,0.5,0.005676112895847752,symbol-error probability,0.7415339756860024,0.5
0.011352225791695505,0.0,0.001419028223961938,0.006012477486627171,0.3684309310392559,0.49435598379066825,0.4724098662434041,PPM-8,,0.375,0.0037840752638985016,symbol-error probability,0.8651229716336695,0.375
0.012887303042563664,0.0,0.006443651521281832,0.006823569798086461,0.36850539202553734,0.493597691333778,0.46879781771603163,OOK,0.493597691333778,1.0,0.006443651521281832,bit-error probability,,
0.012887303042563664,0.0,0.006443651521281832,0.006823569798086461,0.36850539202553734,0.493597691333778,0.46879781771603163,repeat-5,0.46879781771603163,0.2,0.03221825760640916,bit-error probability,,
0.012887303042563664,0.0,0.003221825760640916,0.006823569798086461,0.36850539202553734,0.493597691333778,0.46879781771603163,PPM-4,,0.5,0.006443651521281832,symbol-error probability,0.7403965370006669,0.5
0.012887303042563664,0.0,0.001610912880320458,0.006823569798086461,0.36850539202553734,0.493597691333778,0.46879781771603163,PPM-8,,0.375,0.004295767680854555,symbol-error probability,0.8637959598341115,0.375
0.014629957398518719,0.0,0.007314978699259359,0.007743782896198415,0.36858996951357476,0.4927382702213524,0.4647307991704793,OOK,0.4927382702213524,1.0,0.007314978699259359,bit-error probability,,
0.014629957398518719,0.0,0.007314978699259359,0.007743782896198415,0.36858996951357476,0.4927382702213524,0.4647307991704793,repeat-5,0.4647307991704793,0.2,0.0365748934962968,bit-error probability,,
0.014629957398518719,0.0,0.0036574893496296797,0.007743782896198415,0.36858996951357476,0.4927382702213524,0.4647307991704793,PPM-4,,0.5,0.007314978699259359,symbol-error probability,0.7391074053320286,0.5
0.014629957398518719,0.0,0.0018287446748148398,0.007743782896198415,0.36858996951357476,0.4927382702213524,0.4647307991704793,PPM-8,,0.375,0.004876652466172906,symbol-error probability,0.8622919728873667,0.375
0.01660825797108707,0.0,0.008304128985543535,0.008787711566464795,0.36868596437368056,0.49176444939200065,0.4601565734194134,OOK,0.49176444939200065,1.0,0.008304128985543535,bit-error probability,,
0.01660825797108707,0.0,0.008304128985543535,0.008787711566464795,0.36868596437368056,0.49176444939200065,0.4601565734194134,repeat-5,0.4601565734194134,0.2,0.041520644927717676,bit-error probability,,
0.01660825797108707,0.0,0.004152064492771767,0.008787711566464795,0.36868596437368056,0.49176444939200065,0.4601565734194134,PPM-4,,0.5,0.008304128985543535,symbol-error probability,0.737646674088001,0.5
