quadrature_order,selected_events_per_pot,relative_difference_from_order_32,reference_order
4,2.459076903227568e-18,0.0007647475857335273,32
6,2.4568009915503704e-18,0.00016147484031947545,32
8,2.456930273087299e-18,0.00010886143709409879,32
12,2.457164273701879e-18,1.3630756964477797e-05,32
16,2.4572385583571067e-18,1.66006945776509e-05,32
24,2.4571761038038666e-18,8.816288163626673e-06,32
32,2.457197767167457e-18,0.0,32
