scenario,baseline_km,peak_neutrino_on_slot_MW_at_1_slot_s,vacuum_flight_s
terrestrial_reference,5000.0,24.400906770596194,0.016678204759907604
mean_earth_moon,384400.0,144222.39885880172,1.2822203819416966
one_au_illustrative,149597870.7,21843226091.6761,499.0047838361564
two_au_illustrative,299195741.4,87372904366.7044,998.0095676723128
